episode,total_reward
1060,-148.0
1061,-361.0
1062,-142.0
1063,-175.0
1064,-183.0
1065,-134.0
1066,-133.0
1067,-32.0
1068,-341.0
1069,-247.0
1070,-246.0
1071,-164.0
1072,-19.0
1073,-91.0
1074,-203.0
1075,-103.0
1076,-155.0
1077,-202.0
1078,-310.0
1079,-74.0
1080,-506.0
1081,-359.0
1082,-76.0
1083,-302.0
1084,-51.0
1085,-484.0
1086,-280.0
1087,-315.0
1088,-74.0
1089,-161.0
1090,-347.0
1091,-175.0
1092,-164.0
1093,-421.0
1094,-62.0
1095,-124.0
1096,-72.0
1097,-76.0
1098,-228.0
1099,-64.0
1100,-84.0
1101,-429.0
1102,-227.0
1103,-96.0
1104,-118.0
1105,-206.0
1106,-247.0
1107,-88.0
1108,-225.0
1109,-100.0
1110,-148.0
1111,-296.0
1112,-62.0
1113,-123.0
1114,-89.0
1115,-50.0
1116,-214.0
1117,-64.0
1118,-299.0
1119,-114.0
1120,-372.0
1121,-245.0
1122,-269.0
1123,-134.0
1124,-241.0
1125,-211.0
1126,-66.0
1127,-227.0
1128,-217.0
1129,-120.0
1130,-174.0
1131,-79.0
1132,-126.0
1133,-56.0
1134,-101.0
1135,-171.0
1136,-48.0
1137,-107.0
1138,-238.0
1139,-198.0
1140,-131.0
1141,-92.0
1142,-315.0
1143,-91.0
1144,-144.0
1145,-178.0
1146,-98.0
1147,-238.0
1148,-175.0
1149,-223.0
1150,-158.0
1151,-399.0
1152,-62.0
1153,-223.0
1154,-184.0
1155,-411.0
1156,-295.0
1157,-164.0
1158,-316.0
1159,-345.0
1160,-110.0
1161,-310.0
1162,-97.0
1163,-197.0
1164,-219.0
1165,-147.0
1166,-114.0
1167,-358.0
1168,-274.0
1169,-196.0
1170,-190.0
1171,-237.0
1172,-88.0
1173,-199.0
1174,-216.0
1175,-213.0
1176,-184.0
1177,-52.0
1178,-70.0
1179,-117.0
1180,-89.0
1181,-351.0
1182,-143.0
1183,-60.0
1184,-88.0
1185,-367.0
1186,-164.0
1187,-160.0
1188,-89.0
1189,-286.0
1190,-104.0
1191,-181.0
1192,-57.0
1193,-63.0
1194,-342.0
1195,-185.0
1196,-24.0
1197,-165.0
1198,-115.0
1199,-236.0
1200,-57.0
1201,-144.0
1202,-338.0
1203,-50.0
1204,-729.0
1205,-204.0
1206,-231.0
1207,-376.0
1208,-90.0
1209,-109.0
1210,-229.0
1211,-217.0
1212,-27.0
1213,-129.0
1214,-124.0
1215,-189.0
1216,1.0
1217,-188.0
1218,-69.0
1219,-194.0
1220,-39.0
1221,-207.0
1222,-113.0
1223,-62.0
1224,-238.0
1225,-370.0
1226,-86.0
1227,-144.0
1228,-113.0
1229,-103.0
1230,-89.0
1231,-198.0
1232,-272.0
1233,-155.0
1234,-205.0
1235,-114.0
1236,-120.0
1237,-234.0
1238,-155.0
1239,-34.0
1240,-105.0
1241,-182.0
1242,-69.0
1243,-120.0
1244,-62.0
1245,-154.0
1246,-60.0
1247,-294.0
1248,-169.0
1249,-156.0
1250,-48.0
1251,-197.0
1252,-144.0
1253,-152.0
1254,-145.0
1255,-469.0
1256,-188.0
1257,-170.0
1258,-183.0
1259,-61.0
1260,-121.0
1261,-210.0
1262,-70.0
1263,-35.0
1264,-227.0
1265,-51.0
1266,-359.0
1267,-114.0
1268,-151.0
1269,-23.0
1270,-205.0
1271,-246.0
1272,-81.0
1273,-95.0
1274,-443.0
1275,-125.0
1276,-155.0
1277,-171.0
1278,-86.0
1279,-117.0
1280,-118.0
1281,-258.0
1282,-126.0
1283,-122.0
1284,-88.0
1285,-179.0
1286,-267.0
1287,-421.0
1288,-198.0
1289,-111.0
1290,-100.0
1291,-199.0
1292,-148.0
1293,-80.0
1294,-310.0
1295,-362.0
1296,-19.0
1297,-278.0
1298,-59.0
1299,-36.0
1300,-70.0
1301,-322.0
1302,-77.0
1303,-135.0
1304,-83.0
1305,-40.0
1306,0.0
1307,-32.0
1308,-538.0
1309,-90.0
1310,-184.0
1311,-61.0
1312,-65.0
1313,-104.0
1314,-117.0
1315,-185.0
1316,-140.0
1317,-53.0
1318,-87.0
1319,-271.0
1320,-144.0
1321,-163.0
1322,-183.0
1323,-156.0
1324,-155.0
1325,-163.0
1326,-205.0
1327,-112.0
1328,-90.0
1329,-255.0
1330,-120.0
1331,-95.0
1332,-180.0
1333,-54.0
1334,-133.0
1335,-104.0
1336,-26.0
1337,-110.0
1338,-208.0
1339,-86.0
1340,-99.0
1341,-223.0
1342,-225.0
1343,-216.0
1344,-169.0
1345,-98.0
1346,-99.0
1347,-105.0
1348,-88.0
1349,-75.0
1350,-185.0
1351,-38.0
1352,-137.0
1353,-44.0
1354,-32.0
1355,-212.0
1356,-7.0
1357,-51.0
1358,-246.0
1359,-199.0
1360,-124.0
1361,-106.0
1362,-141.0
1363,-137.0
1364,-116.0
1365,-74.0
1366,-8.0
1367,-60.0
1368,-175.0
1369,-96.0
1370,-301.0
1371,-106.0
1372,-25.0
1373,10.0
1374,-68.0
1375,-105.0
1376,-160.0
1377,-59.0
1378,-93.0
1379,-112.0
1380,-45.0
1381,-187.0
1382,-112.0
1383,-157.0
1384,-67.0
1385,-181.0
1386,-157.0
1387,-164.0
1388,-55.0
1389,-160.0
1390,-39.0
1391,-53.0
